seqnames	start	end	width	strand	genoT	deltaW	coverage	spikiness	evenness.mean	evenness.med	background	quality	library	gene	freq
chr4	108740661	108801153	60493	*	cc-ww	168	23	0.272746553552492	0.294857205392057	0.294150516539615	0.0291384968173012	okay	blm-1-single-c10-w11_.trimmed.mdup.bam	BLM	3
chr5	25968170	26171264	203095	*	cc-ww	171	23	0.272746553552492	0.294857205392057	0.294150516539615	0.0291384968173012	okay	blm-1-single-c10-w11_.trimmed.mdup.bam	BLM	1
chr12	54033307	54147633	114327	*	ww-cc	172	23	0.272746553552492	0.294857205392057	0.294150516539615	0.0291384968173012	okay	blm-1-single-c10-w11_.trimmed.mdup.bam	BLM	6
chr5	57456621	57483858	27238	*	ww-cc	175	55	0.191639085189492	0.219583145840823	0.21936524400114	0.0159801475300309	okay	blm-1-single-c10-w15_.trimmed.mdup.bam	BLM	4
chr5	162757673	162798558	40886	*	cc-ww	173	55	0.191639085189492	0.219583145840823	0.21936524400114	0.0159801475300309	okay	blm-1-single-c10-w15_.trimmed.mdup.bam	BLM	2
chr6	94812709	94870239	57531	*	cc-ww	169	55	0.191639085189492	0.219583145840823	0.21936524400114	0.0159801475300309	okay	blm-1-single-c10-w15_.trimmed.mdup.bam	BLM	3
chr7	40755061	40776037	20977	*	cc-ww	175	55	0.191639085189492	0.219583145840823	0.21936524400114	0.0159801475300309	okay	blm-1-single-c10-w15_.trimmed.mdup.bam	BLM	3
chr8	81923592	81924933	1342	*	ww-wc	81	55	0.191639085189492	0.219583145840823	0.21936524400114	0.0159801475300309	okay	blm-1-single-c10-w15_.trimmed.mdup.bam	BLM	6
chr8	136051928	136057357	5430	*	wc-cc	97	55	0.191639085189492	0.219583145840823	0.21936524400114	0.0159801475300309	okay	blm-1-single-c10-w15_.trimmed.mdup.bam	BLM	15
chr11	21252904	21265606	12703	*	ww-cc	172	55	0.191639085189492	0.219583145840823	0.21936524400114	0.0159801475300309	okay	blm-1-single-c10-w15_.trimmed.mdup.bam	BLM	3
